Date,Predicted_EV_Sales
2014-01-31,267582.0
2014-02-28,-53399.0
2014-03-31,-52552.0
2014-04-30,-52195.0
2014-05-31,-52103.0
2014-06-30,-52254.0
2014-07-31,-52408.0
2014-08-31,-52596.0
2014-09-30,-52826.0
2014-10-31,-52842.0
2014-11-30,-52604.0
2014-12-31,-51896.0
2015-01-31,279179.0
2015-02-28,-42935.0
2015-03-31,-40578.0
2015-04-30,-39713.0
2015-05-31,-39614.0
2015-06-30,-40358.0
2015-07-31,-40882.0
2015-08-31,-41394.0
2015-09-30,-42037.0
2015-10-31,-41824.0
2015-11-30,-40789.0
2015-12-31,-38176.0
2016-01-31,290585.0
2016-02-29,-27528.0
2016-03-31,-29754.0
2016-04-30,-30505.0
2016-05-31,-30509.0
2016-06-30,-29530.0
2016-07-31,-28948.0
2016-08-31,-28469.0
2016-09-30,-27807.0
2016-10-31,-28198.0
2016-11-30,-29488.0
2016-12-31,-32634.0
2017-01-31,302380.0
2017-02-28,-17205.0
2017-03-31,-17887.0
2017-04-30,-18069.0
2017-05-31,-18011.0
2017-06-30,-17588.0
2017-07-31,-17373.0
2017-08-31,-17231.0
2017-09-30,-17026.0
2017-10-31,-17242.0
2017-11-30,-17780.0
2017-12-31,-18994.0
2018-01-31,314167.0
2018-02-28,-6814.0
2018-03-31,-5966.0
2018-04-30,-5609.0
2018-05-31,-5517.0
2018-06-30,-5668.0
2018-07-31,-5823.0
2018-08-31,-6011.0
2018-09-30,-6241.0
2018-10-31,-6257.0
2018-11-30,-6018.0
2018-12-31,-5311.0
2019-01-31,325764.0
2019-02-28,3651.0
2019-03-31,6008.0
2019-04-30,6873.0
2019-05-31,6972.0
2019-06-30,6227.0
2019-07-31,5703.0
2019-08-31,5191.0
2019-09-30,4549.0
2019-10-31,4761.0
2019-11-30,5796.0
2019-12-31,8410.0
2020-01-31,337171.0
2020-02-29,19057.0
2020-03-31,16832.0
2020-04-30,16080.0
2020-05-31,16076.0
2020-06-30,17056.0
2020-07-31,17637.0
2020-08-31,18116.0
2020-09-30,18778.0
2020-10-31,18388.0
2020-11-30,17097.0
2020-12-31,13951.0
2021-01-31,348965.0
2021-02-28,29380.0
2021-03-31,28699.0
2021-04-30,28516.0
2021-05-31,28574.0
2021-06-30,28998.0
2021-07-31,29212.0
2021-08-31,29355.0
2021-09-30,29559.0
2021-10-31,29343.0
2021-11-30,28805.0
2021-12-31,27592.0
2022-01-31,360752.0
2022-02-28,39771.0
2022-03-31,40619.0
2022-04-30,40976.0
2022-05-31,41068.0
2022-06-30,40917.0
2022-07-31,40763.0
2022-08-31,40575.0
2022-09-30,40344.0
2022-10-31,40329.0
2022-11-30,40567.0
2022-12-31,41274.0
2023-01-31,372349.0
2023-02-28,50236.0
2023-03-31,52593.0
2023-04-30,53458.0
2023-05-31,53557.0
2023-06-30,52812.0
2023-07-31,52289.0
2023-08-31,51776.0
2023-09-30,51134.0
2023-10-31,51346.0
2023-11-30,52381.0
2023-12-31,54995.0
2024-01-31,383756.0
2024-02-29,65642.0
2024-03-31,63417.0
2024-04-30,62665.0
2024-05-31,62662.0
2024-06-30,63641.0
2024-07-31,64223.0
2024-08-31,64702.0
2024-09-30,65363.0
2024-10-31,64973.0
2024-11-30,63682.0
2024-12-31,60536.0
2025-01-31,395551.0
